page,bbox_x0,bbox_top,bbox_x1,bbox_bottom,tentang,tipe_regional,kelas_rs,tipe_rs,rawat_jalan,NO,KODE SPESIAL,DESKRIPSI SPESIAL CMG,KODE INA- CBG,KELAS RAWAT,A PEMERINTAH,B PEMERINTAH,C PEMERINTAH,D PEMERINTAH
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,D-4-11-III,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2.637.400,12.637.400,12.637.400,12.637.400
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2.637.400,12.637.400,12.637.400,12.637.400
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2.637.400,12.637.400,12.637.400,12.637.400
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,L-1-20-I,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5.673.000,15.673.000,15.673.000,15.673.000
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5.673.000,15.673.000,15.673.000,15.673.000
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5.673.000,15.673.000,15.673.000,15.673.000
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,L-1-20-II,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5.673.000,15.673.000,15.673.000,15.673.000
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5.673.000,15.673.000,15.673.000,15.673.000
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5.673.000,15.673.000,15.673.000,15.673.000
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,L-1-20-III,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5.673.000,15.673.000,15.673.000,15.673.000
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5.673.000,15.673.000,15.673.000,15.673.000
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 5.673.000,15.673.000,15.673.000,15.673.000
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,1,4.289.100,4 .289.100,4 .289.100,4 .289.100
40,90.0,174.1,498.6,736.2,-39- -40- B. Besaran Pembayaran Tambahan (Top Up Payment) Pada Special Casemix Main Groups (CMG) TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,4.289.100,4 .289.100,4 .289.100,4 .289.100
