page,bbox_x0,bbox_top,bbox_x1,bbox_bottom,NO,KKOODDEE IINNAA--CCBBGG,DESKRIPSI KODE INA-CBG,TTAARRIIFF IINNAA--CCBBGG
550,50.0,109.4,452.8,784.8,6,H-3-12-0,PROSEDUR LAIN-LAIN PADA MATA,407.900
550,50.0,109.4,452.8,784.8,67,H-3-13-0,PROSEDUR DIAGNOSTIK & IMAGING PADA MATA,426.000
550,50.0,109.4,452.8,784.8,68,I-2-11-0,PEMASANGAN/PENYISIPAN DEFIBRILATOR JANTUNG & SISTEM BANTU JANTUNG,5.904.600
550,50.0,109.4,452.8,784.8,69,I-2-12-0,PROSEDUR BESAR PADA PEMBULUH DARAH TORASIK,3.312.600
550,50.0,109.4,452.8,784.8,70,I-2-13-0,PROSEDUR BESAR PADA PEMBULUH DARAH ABDOMEN,3.653.000
550,50.0,109.4,452.8,784.8,71,I-2-14-0,PROSEDUR PEMASANGAN/PENYISIPAN ALAT PACU PERMANEN PADA JANTUNG,7.469.600
550,50.0,109.4,452.8,784.8,72,I-2-15-0,PROSEDUR KATETERISASI JANTUNG,6.868.500
550,50.0,109.4,452.8,784.8,73,I-2-16-0,PROSEDUR REVISI DEFIBRILATOR DAN ALAT PACU JANTUNG TIDAK TERMASUK PENGGANTIAN ALAT,4.083.300
550,50.0,109.4,452.8,784.8,74,I-2-17-0,PROSEDUR LIGASI DAN STRIPPING PEMBULUH DARAH VENA,1.350.900
550,50.0,109.4,452.8,784.8,75,I-2-21-0,ANGIOGRAFI ARTERI BUKAN JANTUNG,4.544.800
550,50.0,109.4,452.8,784.8,76,I-2-22-0,PROSEDUR SEDANG PADA PEMBULUH DARAH,2.967.500
550,50.0,109.4,452.8,784.8,7,I-2-23-0,PROSEDUR KECIL PADA PEMBULUH DARAH,797.000
550,50.0,109.4,452.8,784.8,78,I-2-31-0,PEMASANGAN ATAU PENGGANTIAN ALAT DEFIBRILATOR JANTUNG,7.883.800
550,50.0,109.4,452.8,784.8,79,I-2-32-0,PEMASANGAN ATAU PENGGANTIAN ALAT PACU JANTUNG,7.137.100
551,50.0,102.5,452.8,786.3,80,I-2-41-0,PROSEDUR ELEKTROFISIOLOGIK,4.785.400
551,50.0,102.5,452.8,786.3,81,I-2-42-0,PROSEDUR ANGIOPLASTI PEMBULUH DARAH KORONER DAN KARDIOVASKULAR PERKUTAN LAIN,4.562.100
551,50.0,102.5,452.8,786.3,82,I-3-10-0,PROSEDUR RESUSITASI,1.092.500
551,50.0,102.5,452.8,786.3,83,I-3-11-0,PROSEDUR KARDIOVERSI,991.100
551,50.0,102.5,452.8,786.3,84,I-3-12-0,PROSEDUR KECIL LAIN-LAIN PADA JANTUNG,1.875.100
551,50.0,102.5,452.8,786.3,85,I-3-13-0,PROSEDUR EKOKARDIOGRAFI,546.700
551,50.0,102.5,452.8,786.3,86,I-3-14-0,PROSEDUR STRESS TESTING,503.600
551,50.0,102.5,452.8,786.3,87,I-3-15-0,PROSEDUR PENGAWASAN FUNGSI KARDIOVASKULAR,504.600
551,50.0,102.5,452.8,786.3,8,J-2-10-0,PROSEDUR BESAR PADA SISTEM SALURAN PERNAFASAN,2.537.600
551,50.0,102.5,452.8,786.3,89,J-2-21-0,PROSEDUR VENTILASI MEKANIKAL JANGKA PENDEK,2.625.800
551,50.0,102.5,452.8,786.3,90,J-2-22-0,PROSEDUR PADA LARING DAN TRAKEA,2.066.400
551,50.0,102.5,452.8,786.3,91,J-2-31-0,PROSEDUR THORAKOSKOPI/MEDIASTINOSKOPI,2.313.900
551,50.0,102.5,452.8,786.3,92,J-2-32-0,PROSEDUR DADA INTERMEDIATE,1.381.600
551,50.0,102.5,452.8,786.3,93,J-3-10-0,PROSEDUR PADA DINDING DADA,936.700
551,50.0,102.5,452.8,786.3,94,J-3-11-0,PROSEDUR PEMASANGAN/PENYISIPAN TUBE PADA DADA,1.219.500
551,50.0,102.5,452.8,786.3,95,J-3-12-0,PROSEDUR THORACENTESIS,839.600
551,50.0,102.5,452.8,786.3,96,J-3-13-0,PROSEDUR TERAPI SALURAN PERNAFASAN,501.800
551,50.0,102.5,452.8,786.3,97,J-3-14-0,PROSEDUR BIOPSI PERKUTAN DAN ASPIRASI,807.800
551,50.0,102.5,452.8,786.3,98,J-3-15-0,PROSEDUR BRONKOSKOPI,621.700
551,50.0,102.5,452.8,786.3,9,J-3-16-0,PROSEDUR UJI FUNGSI PARU,707.800
551,50.0,102.5,452.8,786.3,100,J-3-17-0,PROSEDUR LAIN-LAIN PADA SISTEM SALURAN PERNAFASAN,414.900
551,50.0,102.5,452.8,786.3,101,K-2-10-0,PROSEDUR KECIL PADA USUS BESAR DAN KECIL,1.190.900
551,50.0,102.5,452.8,786.3,102,K-2-11-0,PROSEDUR ADHESIOLYSIS PADA PERITONEUM,2.236.600
551,50.0,102.5,452.8,786.3,103,K-2-12-0,PROSEDUR PADA HERNIA TIDAK TERMASUK HERNIA INGUINALIS DAN FEMORALIS,1.666.000
551,50.0,102.5,452.8,786.3,104,K-2-13-0,PROSEDUR PADA USUS BUNTU,3.916.600
551,50.0,102.5,452.8,786.3,105,K-2-14-0,PROSEDUR PADA HERNIA INGUINALIS DAN FEMORALIS,853.000
551,50.0,102.5,452.8,786.3,106,K-2-21-0,PROSEDUR BESAR PADA USUS HALUS DAN USUS BESAR,988.700
551,50.0,102.5,452.8,786.3,107,K-2-22-0,PROSEDUR BESAR PADA GASTROINTESTINAL ATAS,4.523.900
551,50.0,102.5,452.8,786.3,108,K-2-31-0,PROSEDUR SEDANG PADA GASTROINTESTINAL ATAS,2.104.500
551,50.0,102.5,452.8,786.3,109,K-2-32-0,PROSEDUR LAIN-LAIN PADA GASTROINTESTINAL ATAS,730.200
551,50.0,102.5,452.8,786.3,110,K-2-41-0,PROSEDUR LAPAROSKOPI,2.260.900
551,50.0,102.5,452.8,786.3,111,K-2-42-0,PROSEDUR LAPAROTOMI & GASTROINTESTINAL LAINNYA,4.851.500
551,50.0,102.5,452.8,786.3,112,K-2-51-0,PROSEDUR UNTUK WASIR,1.113.900
551,50.0,102.5,452.8,786.3,113,K-2-52-0,PROSEDUR SEDANG PADA ANUS & REKTUM,1.226.500
551,50.0,102.5,452.8,786.3,114,K-2-53-0,PROSEDUR KECIL PADA ANUS & REKTUM,471.300
551,50.0,102.5,452.8,786.3,115,K-3-10-0,PROSEDUR KECIL LAIN-LAIN PADA GASTROINTESTINAL,387.900
551,50.0,102.5,452.8,786.3,116,K-3-11-0,PROSEDUR KECIL PADA ANUS & REKTUM,582.000
551,50.0,102.5,452.8,786.3,117,K-3-12-0,PROSEDUR SIGMOIDOSKOPI DAN ANOSKOPI,1.112.100
551,50.0,102.5,452.8,786.3,118,K-3-13-0,PROSEDUR KOLONOSKOPI,2.838.900
551,50.0,102.5,452.8,786.3,119,K-3-14-0,PROSEDUR ENDOSKOPI BESAR PADA GASTROINTESTINAL ATAS,2.308.500
551,50.0,102.5,452.8,786.3,120,K-3-15-0,PROSEDUR ENDOSKOPI KECIL PADA GASTROINTESTINAL ATAS,1.779.800
551,50.0,102.5,452.8,786.3,121,K-3-16-0,PROSEDUR LAIN-LAIN PADA GASTROINTESTINAL,715.600
551,50.0,102.5,452.8,786.3,122,K-5-18-0,PENYAKIT SISTEM PENCERNAAN LAIN-LAIN,393.800
